,Genre,variable,value
328,Mystery,Spain,0.0947368421053
329,News,Spain,0.0
330,Reality-TV,Spain,0.0
331,Romance,Spain,0.0842105263158
332,Sci-Fi,Spain,0.0210526315789
333,Short,Spain,0.0
334,Sport,Spain,0.0105263157895
335,Thriller,Spain,0.136842105263
336,War,Spain,0.0421052631579
337,Western,Spain,0.0210526315789
338,Action,Hong Kong,0.241379310345
339,Adventure,Hong Kong,0.0172413793103
340,Animation,Hong Kong,0.0344827586207
341,Biography,Hong Kong,0.0344827586207
342,Comedy,Hong Kong,0.155172413793
343,Crime,Hong Kong,0.0862068965517
344,Documentary,Hong Kong,0.0
345,Drama,Hong Kong,0.103448275862
346,Family,Hong Kong,0.051724137931
347,Fantasy,Hong Kong,0.051724137931
348,Film-Noir,Hong Kong,0.0
349,Game-Show,Hong Kong,0.0
350,History,Hong Kong,0.0344827586207
351,Horror,Hong Kong,0.0
352,Music,Hong Kong,0.0
353,Musical,Hong Kong,0.0
354,Mystery,Hong Kong,0.0
355,News,Hong Kong,0.0
356,Reality-TV,Hong Kong,0.0
357,Romance,Hong Kong,0.051724137931
358,Sci-Fi,Hong Kong,0.0689655172414
359,Short,Hong Kong,0.0
360,Sport,Hong Kong,0.0172413793103
361,Thriller,Hong Kong,0.0344827586207
362,War,Hong Kong,0.0172413793103
363,Western,Hong Kong,0.0
364,Action,Czech Republic,0.0
365,Adventure,Czech Republic,0.0
366,Animation,Czech Republic,0.0
367,Biography,Czech Republic,0.0
368,Comedy,Czech Republic,0.1
369,Crime,Czech Republic,0.1
370,Documentary,Czech Republic,0.0
371,Drama,Czech Republic,0.2
372,Family,Czech Republic,0.0
373,Fantasy,Czech Republic,0.1
374,Film-Noir,Czech Republic,0.0
375,Game-Show,Czech Republic,0.0
376,History,Czech Republic,0.0
377,Horror,Czech Republic,0.1
378,Music,Czech Republic,0.0
379,Musical,Czech Republic,0.0
380,Mystery,Czech Republic,0.0
381,News,Czech Republic,0.0
382,Reality-TV,Czech Republic,0.0
383,Romance,Czech Republic,0.1
384,Sci-Fi,Czech Republic,0.0
385,Short,Czech Republic,0.0
386,Sport,Czech Republic,0.0
387,Thriller,Czech Republic,0.2
388,War,Czech Republic,0.1
389,Western,Czech Republic,0.0
390,Action,India,0.0752688172043
391,Adventure,India,0.0322580645161
392,Animation,India,0.010752688172
393,Biography,India,0.0322580645161
394,Comedy,India,0.150537634409
395,Crime,India,0.010752688172
396,Documentary,India,0.0215053763441
397,Drama,India,0.247311827957
398,Family,India,0.010752688172
399,Fantasy,India,0.010752688172
400,Film-Noir,India,0.0
401,Game-Show,India,0.0
402,History,India,0.0430107526882
403,Horror,India,0.0
404,Music,India,0.0
405,Musical,India,0.0430107526882
406,Mystery,India,0.0
407,News,India,0.0
408,Reality-TV,India,0.0
409,Romance,India,0.193548387097
410,Sci-Fi,India,0.010752688172
411,Short,India,0.0
412,Sport,India,0.0
413,Thriller,India,0.0752688172043
414,War,India,0.0322580645161
415,Western,India,0.0
416,Action,Soviet Union,0.0
417,Adventure,Soviet Union,0.0
418,Animation,Soviet Union,0.0
419,Biography,Soviet Union,0.0
420,Comedy,Soviet Union,0.0
421,Crime,Soviet Union,0.0
422,Documentary,Soviet Union,0.0
423,Drama,Soviet Union,0.333333333333
424,Family,Soviet Union,0.0
425,Fantasy,Soviet Union,0.0
426,Film-Noir,Soviet Union,0.0
427,Game-Show,Soviet Union,0.0
428,History,Soviet Union,0.0
429,Horror,Soviet Union,0.0
430,Music,Soviet Union,0.0
431,Musical,Soviet Union,0.0
432,Mystery,Soviet Union,0.333333333333
433,News,Soviet Union,0.0
434,Reality-TV,Soviet Union,0.0
435,Romance,Soviet Union,0.0
436,Sci-Fi,Soviet Union,0.333333333333
437,Short,Soviet Union,0.0
438,Sport,Soviet Union,0.0
439,Thriller,Soviet Union,0.0
440,War,Soviet Union,0.0
441,Western,Soviet Union,0.0
442,Action,South Korea,0.155555555556
443,Adventure,South Korea,0.0444444444444
444,Animation,South Korea,0.0222222222222
445,Biography,South Korea,0.0
446,Comedy,South Korea,0.0888888888889
447,Crime,South Korea,0.0222222222222
448,Documentary,South Korea,0.0
449,Drama,South Korea,0.222222222222
450,Family,South Korea,0.0
451,Fantasy,South Korea,0.0444444444444
452,Film-Noir,South Korea,0.0
453,Game-Show,South Korea,0.0
454,History,South Korea,0.0444444444444
455,Horror,South Korea,0.0666666666667
456,Music,South Korea,0.0
457,Musical,South Korea,0.0
458,Mystery,South Korea,0.0444444444444
459,News,South Korea,0.0
460,Reality-TV,South Korea,0.0
461,Romance,South Korea,0.0
462,Sci-Fi,South Korea,0.0444444444444
463,Short,South Korea,0.0
464,Sport,South Korea,0.0
465,Thriller,South Korea,0.111111111111
466,War,South Korea,0.0666666666667
467,Western,South Korea,0.0222222222222
468,Action,Peru,0.2
469,Adventure,Peru,0.0
470,Animation,Peru,0.0
471,Biography,Peru,0.0
472,Comedy,Peru,0.0
473,Crime,Peru,0.2
474,Documentary,Peru,0.0
