Index,Genre,variable,value
914,Comedy,Sweden,0.05
915,Crime,Sweden,0.15
916,Documentary,Sweden,0
917,Drama,Sweden,0.25
918,Family,Sweden,0
919,Fantasy,Sweden,0
920,Film-Noir,Sweden,0
921,Game-Show,Sweden,0
922,History,Sweden,0
923,Horror,Sweden,0
924,Music,Sweden,0.05
925,Musical,Sweden,0
926,Mystery,Sweden,0.05
927,News,Sweden,0
928,Reality-TV,Sweden,0
929,Romance,Sweden,0.1
930,Sci-Fi,Sweden,0
931,Short,Sweden,0
932,Sport,Sweden,0
933,Thriller,Sweden,0.1
934,War,Sweden,0.05
935,Western,Sweden,0
936,Action,Norway,0
937,Adventure,Norway,0.052631579
938,Animation,Norway,0
939,Biography,Norway,0
940,Comedy,Norway,0.210526316
941,Crime,Norway,0.105263158
942,Documentary,Norway,0
943,Drama,Norway,0.315789474
944,Family,Norway,0.052631579
945,Fantasy,Norway,0.052631579
946,Film-Noir,Norway,0
947,Game-Show,Norway,0
948,History,Norway,0
949,Horror,Norway,0.105263158
950,Music,Norway,0
951,Musical,Norway,0
952,Mystery,Norway,0
953,News,Norway,0
954,Reality-TV,Norway,0
955,Romance,Norway,0.052631579
956,Sci-Fi,Norway,0
957,Short,Norway,0
958,Sport,Norway,0
959,Thriller,Norway,0.052631579
960,War,Norway,0
961,Western,Norway,0
962,Action,Taiwan,0.4
963,Adventure,Taiwan,0
964,Animation,Taiwan,0
965,Biography,Taiwan,0
966,Comedy,Taiwan,0
967,Crime,Taiwan,0
